mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf__n_estimators,param_clf__min_samples_split,param_clf__min_samples_leaf,param_clf__max_features,param_clf__max_depth,param_clf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
14.442471122741699,0.06487166281701609,0.8039556503295898,0.02573311628156723,500,10,25,auto,50,"RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)","{'clf__n_estimators': 500, 'clf__min_samples_split': 10, 'clf__min_samples_leaf': 25, 'clf__max_features': 'auto', 'clf__max_depth': 50, 'clf': RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)}",0.8463141705780931,0.8481753592367401,0.851832255147944,0.8572016520719661,0.8533432718331455,0.8513733417735778,0.0038440273763385236,90
3.4766806602478026,0.05848563846517966,0.2983109951019287,0.005944752874805477,100,20,10,auto,60,"RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)","{'clf__n_estimators': 100, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 10, 'clf__max_features': 'auto', 'clf__max_depth': 60, 'clf': RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)}",0.8492589190210976,0.8519151908793026,0.8559535491099425,0.8621172234580838,0.8603847862330413,0.8559259337402935,0.004873383631385988,47
15.428646230697632,0.16790582659713488,0.8327608108520508,0.009903437935498239,500,50,10,sqrt,50,"RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)","{'clf__n_estimators': 500, 'clf__min_samples_split': 50, 'clf__min_samples_leaf': 10, 'clf__max_features': 'sqrt', 'clf__max_depth': 50, 'clf': RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)}",0.847111677039852,0.8511402681590085,0.8567168988639894,0.8611908424992537,0.8596245994854929,0.8551568572095192,0.005285098694405349,58
0.8791137218475342,0.020197453090771887,0.17906861305236815,0.005707736024081764,20,20,25,auto,35,"RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)","{'clf__n_estimators': 20, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 25, 'clf__max_features': 'auto', 'clf__max_depth': 35, 'clf': RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)}",0.8465124041590756,0.8486470522495633,0.8514542010695565,0.8548993814930754,0.8518255762012766,0.8506677230345094,0.0028710935318456356,100
1.9821717739105225,0.0345767023971993,0.22614521980285646,0.0048772972020779985,50,5,5,auto,35,"RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)","{'clf__n_estimators': 50, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 5, 'clf__max_features': 'auto', 'clf__max_depth': 35, 'clf': RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)}",0.8521172996600461,0.852452821510266,0.8546615552769443,0.8624625756457088,0.8617375575090002,0.856686361920393,0.004511723798313668,36
3.336625099182129,0.04107619168808319,0.3149277210235596,0.04191202241134583,100,50,10,auto,40,"RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)","{'clf__n_estimators': 100, 'clf__min_samples_split': 50, 'clf__min_samples_leaf': 10, 'clf__max_features': 'auto', 'clf__max_depth': 40, 'clf': RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)}",0.8484011629992898,0.8510449571976417,0.8558385244038548,0.8613311084087883,0.8577470681405701,0.854872564230029,0.0046354774119115975,62
5.967932939529419,0.03335129193062055,0.40390467643737793,0.004903861878664215,200,5,25,auto,30,"RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)","{'clf__n_estimators': 200, 'clf__min_samples_split': 5, 'clf__min_samples_leaf': 25, 'clf__max_features': 'auto', 'clf__max_depth': 30, 'clf': RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)}",0.8460901385456693,0.8478460052888973,0.8524814645387874,0.8568334376377897,0.8543028241148705,0.8515107740252027,0.00399705768288908,88
3.605262279510498,0.048353024632581704,0.3007638931274414,0.0031319180928932175,100,20,5,sqrt,40,"RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)","{'clf__n_estimators': 100, 'clf__min_samples_split': 20, 'clf__min_samples_leaf': 5, 'clf__max_features': 'sqrt', 'clf__max_depth': 40, 'clf': RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)}",0.850250437521229,0.8535385464429803,0.8568292930820767,0.8633822421391352,0.8591876187870406,0.8566376275944924,0.004526135594801895,38
3.210023832321167,0.04475680757375795,0.2928635597229004,0.023639492868202275,100,50,25,sqrt,60,"RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)","{'clf__n_estimators': 100, 'clf__min_samples_split': 50, 'clf__min_samples_leaf': 25, 'clf__max_features': 'sqrt', 'clf__max_depth': 60, 'clf': RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)}",0.8465904026843157,0.8472544815443593,0.853120542644559,0.8573092010712627,0.8546684410869428,0.8517886138062879,0.004198191934251736,78
1.735020399093628,0.03159968559342795,0.23723783493041992,0.0262629049682663,50,50,25,sqrt,60,"RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)","{'clf__n_estimators': 50, 'clf__min_samples_split': 50, 'clf__min_samples_leaf': 25, 'clf__max_features': 'sqrt', 'clf__max_depth': 60, 'clf': RandomForestClassifier(max_depth=30, max_features='sqrt', min_samples_leaf=2,
                       min_samples_split=20, n_estimators=200)}",0.8458614891059537,0.8478550817634488,0.8528425524702518,0.8568492218313543,0.8520489451509017,0.851091458064382,0.0038719933781643867,96
